t_us,x_raw,y_raw,z_raw
1300333923,264,26,-31
1300335173,268,28,-30
1300336423,265,34,-32
1300337673,267,32,-25
1300338923,266,28,-32
1300340173,271,32,-34
1300341423,262,28,-34
1300342673,263,27,-34
1300343923,266,29,-38
1300345173,264,30,-36
1300346423,266,28,-30
1300347673,269,25,-34
1300348923,262,26,-35
1300350173,267,27,-37
1300351423,266,27,-37
1300352673,262,30,-37
1300353923,267,27,-35
1300355173,264,27,-32
1300356423,266,27,-36
1300357673,267,27,-38
1300358923,264,26,-35
1300360173,265,30,-31
1300361423,266,29,-36
1300362673,264,25,-37
1300363923,266,27,-35
1300366395,268,27,-30
1300367645,265,30,-29
1300368895,269,29,-36
1300370145,271,30,-34
1300371395,272,28,-32
1300372645,269,28,-29
1300373895,267,26,-35
1300375145,265,26,-37
1300376395,263,32,-39
1300377645,264,26,-36
1300378895,262,26,-35
1300380145,267,26,-32
1300381395,264,30,-31
1300382645,266,28,-37
1300383895,264,28,-40
1300385145,266,27,-36
1300386395,266,28,-37
1300387645,266,28,-30
1300388895,268,28,-32
1300390145,265,29,-33
1300391395,266,29,-39
1300392645,268,25,-34
1300393895,267,28,-33
1300395145,265,29,-36
1300396395,266,33,-39
1300398865,268,28,-32
1300400115,270,30,-31
1300401365,264,31,-29
1300402615,266,30,-34
1300403865,269,28,-34
1300405115,263,32,-30
1300406365,268,28,-31
1300407615,264,24,-33
1300408865,266,30,-34
1300410115,264,23,-36
1300411365,264,28,-37
1300412615,263,29,-35
1300413865,261,32,-33
1300415115,261,32,-33
1300416365,263,29,-35
1300417615,264,23,-38
1300418865,264,31,-33
1300420115,264,28,-34
1300421365,262,28,-31
1300422615,268,27,-35
1300423865,268,28,-32
1300425115,264,22,-32
1300426365,267,26,-33
1300427615,267,27,-33
1300428865,263,29,-36
1300431455,267,25,-36
1300432705,268,28,-30
1300433955,269,33,-33
1300435205,266,30,-36
1300436455,263,34,-36
1300437705,266,28,-29
1300438955,265,27,-33
1300440205,264,30,-33
1300441455,268,28,-30
1300442705,269,30,-35
1300443955,268,27,-34
1300445205,268,28,-37
1300446455,264,28,-34
1300447705,265,28,-37
1300448955,267,28,-31
1300450205,267,26,-35
1300451455,265,31,-35
1300452705,264,24,-35
1300453955,264,27,-33
1300455205,264,28,-34
1300456455,265,24,-36
1300457705,265,27,-38
1300458955,267,27,-30
1300460205,263,27,-38
1300461455,266,32,-33
1300463952,266,28,-37
1300465202,271,28,-27
1300466452,266,30,-37
1300467702,266,29,-34
1300468952,273,28,-34
1300470202,268,29,-32
1300471452,268,26,-36
1300472702,266,27,-34
1300473952,264,28,-36
1300475202,269,27,-30
1300476452,267,28,-36
1300477702,261,28,-30
1300478952,265,28,-32
1300480202,268,26,-35
1300481452,265,29,-31
1300482702,267,32,-33
1300483952,267,29,-31
1300485202,266,27,-36
1300486452,270,27,-36
1300487702,269,28,-35
1300488952,267,27,-35
1300490202,266,29,-34
1300491452,263,24,-30
1300492702,268,24,-34
1300493952,265,29,-33
1300496370,264,31,-32
1300497620,271,27,-34
1300498870,267,34,-32
1300500120,267,31,-35
1300501370,265,30,-29
1300502620,266,28,-35
1300503870,266,29,-33
1300505120,266,27,-37
1300506370,266,28,-33
1300507620,268,27,-33
1300508870,266,29,-33
1300510120,265,27,-31
1300511370,265,28,-33
1300512620,266,29,-36
1300513870,264,33,-35
1300515120,266,27,-38
1300516370,264,27,-35
1300517620,262,28,-30
1300518870,267,24,-37
1300520120,265,30,-33
1300521370,264,29,-31
1300522620,267,25,-34
1300523870,268,29,-33
1300525120,268,26,-31
1300526370,270,26,-33
1300528922,266,26,-39
1300530172,270,29,-31
1300531422,267,35,-33
1300532672,262,33,-35
1300533922,267,30,-36
1300535172,267,31,-34
1300536422,264,26,-37
1300537672,267,26,-34
