t_us,x_raw,y_raw,z_raw
0,2,0,257
1250,1,0,255
2500,1,0,257
3750,3,1,257
5000,2,1,258
6250,-1,1,256
7500,1,-1,257
8750,0,1,258
10000,0,1,256
11250,1,1,256
12500,0,-1,259
13750,2,0,257
15000,1,1,258
16250,0,-1,257
17500,1,0,258
18750,0,3,257
20000,2,3,256
21250,0,2,256
22500,0,1,256
23750,-1,-1,257
25000,-3,1,257
26250,1,0,256
27500,1,-1,257
28750,-1,-1,257
30000,3,0,259
31250,-2,-1,255
32500,0,-1,258
33750,0,1,256
35000,2,0,256
36250,2,0,256
37500,0,0,255
38750,0,-1,256
40000,-1,-2,256
41250,-3,0,256
42500,0,-1,258
43750,0,-3,255
45000,2,-1,256
46250,2,-1,256
47500,-1,1,258
48750,0,1,255
50000,-1,1,257
51250,-2,-1,258
52500,-2,1,258
53750,3,0,257
55000,-1,-1,259
56250,-1,-1,255
57500,-2,1,256
58750,1,-1,256
60000,-2,0,257
61250,0,1,254
62500,-1,2,258
63750,1,2,258
65000,-1,1,256
66250,-2,-2,258
67500,0,-1,257
68750,1,-1,255
70000,0,2,256
71250,0,-1,256
72500,-1,1,257
73750,0,0,258
75000,-1,-1,257
76250,0,0,256
77500,-1,1,257
78750,-2,-2,256
80000,0,2,259
81250,-1,-3,256
82500,-2,-1,256
83750,1,1,256
85000,-1,-2,255
86250,0,0,256
87500,1,-2,258
88750,0,0,256
90000,1,-3,254
91250,-2,-1,256
92500,1,-2,256
93750,-1,-1,257
95000,-1,-1,258
96250,-1,-1,256
97500,0,1,256
98750,0,-1,257
100000,-2,1,255
101250,1,2,257
102500,1,0,256
103750,-2,-1,255
105000,2,-2,255
106250,2,-1,256
107500,2,1,258
108750,0,0,257
110000,-1,1,255
111250,1,1,256
112500,-1,0,257
113750,2,1,258
115000,0,2,258
116250,1,2,257
117500,0,0,258
118750,1,1,255
120000,0,1,257
121250,2,1,259
122500,0,1,256
123750,1,-1,258
125000,2,-2,258
126250,-2,1,257
127500,-2,2,259
128750,1,-1,256
130000,-2,0,256
131250,3,-1,258
132500,-1,2,257
133750,-1,-3,255
135000,3,-3,257
136250,2,0,260
137500,2,0,253
138750,1,-1,258
140000,-1,0,256
141250,2,1,257
142500,0,-1,258
143750,1,-1,255
145000,1,-1,254
146250,0,1,255
147500,1,-1,256
148750,1,-2,254
150000,0,0,257
151250,-1,1,257
152500,0,2,257
153750,2,0,257
155000,-1,-1,255
156250,0,1,256
157500,-1,1,257
158750,2,0,258
160000,1,0,257
161250,1,0,259
162500,-1,0,257
163750,1,0,257
165000,-1,-1,257
166250,0,-2,259
167500,-1,-1,255
168750,1,1,256
170000,1,0,256
171250,0,1,256
172500,1,0,255
173750,-1,-1,257
175000,-2,1,256
176250,1,0,257
177500,0,2,256
178750,1,1,255
180000,3,3,258
181250,1,0,259
182500,-1,1,257
183750,1,1,257
185000,-2,-1,259
186250,-1,0,257
187500,0,-2,258
188750,2,-2,257
190000,-1,0,258
191250,-1,1,257
192500,0,1,257
193750,-1,0,257
195000,1,1,255
196250,-1,-1,255
197500,-2,0,258
198750,-1,1,258
200000,-1,1,257
201250,3,0,255
202500,1,2,258
203750,0,-2,257
205000,-2,-1,255
206250,1,0,257
207500,-1,1,258
208750,-2,0,258
210000,2,-2,256
211250,0,1,256
212500,1,1,255
213750,0,1,258
215000,1,1,257
216250,-1,-2,259
217500,-1,-1,256
218750,1,1,259
220000,-1,0,254
